( 1 , 510 ) 11
( 1 , 592 ) 48
( 1 , 58 ) 4
( 1 , 662 ) 24
( 2 , 439 ) 23
( 2 , 216 ) 42
( 2 , 414 ) 31
( 2 , 303 ) 49
( 3 , 372 ) 40
( 3 , 54 ) 23
( 3 , 616 ) 43
( 3 , 553 ) 25
( 4 , 692 ) 4
( 4 , 729 ) 38
( 4 , 305 ) 31
( 4 , 509 ) 9
( 5 , 693 ) 48
( 5 , 201 ) 13
( 5 , 618 ) 48
( 5 , 437 ) 37
( 6 , 729 ) 20
( 6 , 9 ) 39
( 6 , 172 ) 39
( 6 , 557 ) 39
( 7 , 617 ) 19
( 7 , 148 ) 29
( 7 , 48 ) 7
( 7 , 656 ) 40
( 8 , 466 ) 11
( 8 , 703 ) 11
( 8 , 97 ) 28
( 8 , 69 ) 10
( 9 , 603 ) 27
( 9 , 112 ) 48
( 9 , 152 ) 25
( 9 , 697 ) 24
( 10 , 678 ) 33
( 10 , 615 ) 18
( 10 , 455 ) 45
( 10 , 65 ) 27
( 11 , 275 ) 10
( 11 , 676 ) 45
( 11 , 663 ) 26
( 11 , 527 ) 27
( 12 , 336 ) 23
( 12 , 172 ) 18
( 12 , 489 ) 26
( 12 , 8 ) 21
( 13 , 635 ) 1
( 13 , 52 ) 35
( 13 , 487 ) 37
( 13 , 117 ) 49
( 14 , 243 ) 28
( 14 , 379 ) 45
( 14 , 528 ) 42
( 14 , 52 ) 11
( 15 , 565 ) 28
( 15 , 525 ) 44
( 15 , 181 ) 39
( 15 , 282 ) 24
( 16 , 152 ) 19
( 16 , 702 ) 1
( 16 , 51 ) 8
( 16 , 461 ) 39
( 17 , 608 ) 21
( 17 , 106 ) 43
( 17 , 375 ) 3
( 17 , 407 ) 19
( 18 , 403 ) 17
( 18 , 446 ) 5
( 18 , 376 ) 1
( 18 , 256 ) 7
( 19 , 49 ) 25
( 19 , 397 ) 22
( 19 , 569 ) 21
( 19 , 236 ) 15
( 20 , 568 ) 43
( 20 , 648 ) 21
( 20 , 105 ) 2
( 20 , 193 ) 50
( 21 , 13 ) 14
( 21 , 209 ) 10
( 21 , 662 ) 44
( 21 , 447 ) 4
( 22 , 210 ) 24
( 22 , 208 ) 38
( 22 , 583 ) 24
( 22 , 614 ) 3
( 23 , 573 ) 23
( 23 , 78 ) 27
( 23 , 211 ) 2
( 23 , 23 ) 28
( 24 , 490 ) 46
( 24 , 439 ) 12
( 24 , 501 ) 12
