( 1 , 16 ) 9
( 1 , 26 ) 42
( 2 , 36 ) 12
( 2 , 53 ) 1
( 3 , 7 ) 50
( 3 , 65 ) 48
( 4 , 43 ) 23
( 4 , 23 ) 35
( 5 , 2 ) 48
( 5 , 75 ) 41
( 6 , 36 ) 26
( 6 , 34 ) 49
( 7 , 27 ) 9
( 7 , 49 ) 25
( 8 , 69 ) 19
( 8 , 66 ) 18
( 9 , 48 ) 5
( 9 , 23 ) 5
( 10 , 16 ) 26
( 10 , 80 ) 16
( 11 , 41 ) 27
( 11 , 5 ) 14
( 12 , 66 ) 48
( 12 , 32 ) 7
( 13 , 52 ) 48
( 13 , 70 ) 41
( 14 , 44 ) 37
( 14 , 11 ) 41
( 15 , 68 ) 46
( 15 , 10 ) 9
( 16 , 8 ) 20
( 16 , 17 ) 34
( 17 , 36 ) 39
( 17 , 47 ) 18
( 18 , 16 ) 34
( 18 , 30 ) 35
( 19 , 32 ) 7
( 19 , 58 ) 44
( 20 , 9 ) 35
( 20 , 17 ) 12
( 21 , 13 ) 14
( 21 , 80 ) 4
( 22 , 71 ) 50
( 22 , 60 ) 16
( 23 , 34 ) 1
( 23 , 36 ) 18
( 24 , 79 ) 23
( 24 , 78 ) 33
( 25 , 43 ) 10
( 25 , 55 ) 1
( 26 , 62 ) 23
( 26 , 51 ) 17
( 27 , 75 ) 42
( 27 , 40 ) 29
( 28 , 10 ) 41
( 28 , 72 ) 46
( 29 , 63 ) 45
( 29 , 39 ) 34
( 30 , 17 ) 30
( 30 , 21 ) 40
( 31 , 25 ) 33
( 31 , 23 ) 10
( 32 , 37 ) 43
( 32 , 61 ) 1
( 33 , 24 ) 19
( 33 , 33 ) 24
( 34 , 49 ) 24
( 34 , 14 ) 24
( 35 , 29 ) 9
( 35 , 36 ) 24
( 36 , 6 ) 31
( 36 , 18 ) 17
( 37 , 14 ) 19
( 37 , 21 ) 35
( 38 , 16 ) 3
( 38 , 73 ) 16
( 39 , 73 ) 21
( 39 , 4 ) 25
( 40 , 69 ) 43
( 40 , 32 ) 22
( 41 , 68 ) 31
( 41 , 60 ) 40
( 42 , 76 ) 5
( 42 , 36 ) 30
( 43 , 20 ) 9
( 43 , 35 ) 37
( 44 , 43 ) 43
( 44 , 37 ) 21
( 45 , 36 ) 31
( 45 , 45 ) 25
( 46 , 47 ) 17
( 46 , 74 ) 45
( 47 , 68 ) 36
( 47 , 42 ) 4
( 48 , 5 ) 4
( 48 , 13 ) 32
( 49 , 48 ) 14
( 49 , 59 ) 48
( 50 , 71 ) 43
( 50 , 2 ) 29
( 51 , 24 ) 49
( 51 , 55 ) 41
( 52 , 47 ) 20
( 52 , 42 ) 13
( 53 , 62 ) 4
( 53 , 79 ) 22
( 54 , 36 ) 44
( 54 , 54 ) 41
( 55 , 34 ) 6
( 55 , 70 ) 31
( 56 , 72 ) 33
( 56 , 46 ) 12
( 57 , 5 ) 25
( 57 , 48 ) 50
( 58 , 41 ) 22
( 58 , 81 ) 27
( 59 , 33 ) 28
( 59 , 15 ) 20
( 60 , 19 ) 17
( 60 , 64 ) 1
( 61 , 45 ) 17
( 61 , 42 ) 41
( 62 , 69 ) 46
( 62 , 47 ) 6
( 63 , 56 ) 2
( 63 , 39 ) 11
( 64 , 6 ) 14
( 64 , 41 ) 42
( 65 , 44 ) 48
( 65 , 74 ) 45
( 66 , 75 ) 34
( 66 , 54 ) 28
( 67 , 55 ) 1
( 67 , 25 ) 30
( 68 , 36 ) 43
( 68 , 73 ) 8
( 69 , 35 ) 9
( 69 , 26 ) 30
( 70 , 31 ) 28
( 70 , 47 ) 50
( 71 , 67 ) 47
( 71 , 51 ) 31
( 72 , 26 ) 50
( 72 , 14 ) 4
( 73 , 36 ) 8
( 73 , 11 ) 15
( 74 , 50 ) 44
( 74 , 15 ) 42
( 75 , 81 ) 33
( 75 , 61 ) 5
( 76 , 15 ) 15
( 76 , 39 ) 22
( 77 , 11 ) 39
( 77 , 45 ) 5
( 78 , 37 ) 49
( 78 , 28 ) 39
( 79 , 23 ) 10
( 79 , 79 ) 25
( 80 , 21 ) 38
( 80 , 12 ) 10
( 81 , 37 ) 37
( 81 , 36 ) 38
